experiment,axiom,log,model,metric,score,time_s,status,max_trace_length,alphabet_size,num_cases,num_log_variants,num_model_variants,num_fitting_variants,num_extra_model_variants,num_missing_log_variants,playout_time_s,numerator_mass,denominator_mass
axiom2_clean_two_models,A2,axiom2_log,M1_exact_log_language,LMP_power_law_alpha_1.5,1.0,1.706100010778755e-05,ok,10,8,7,3,3,3,0,0,0.001147791999756,9.232606573815194e-06,9.232606573815194e-06
axiom2_clean_two_models,A2,axiom2_log,M2_larger_language,LMP_power_law_alpha_1.5,0.479164531276791,1.1475000064820051e-05,ok,10,8,7,3,8,3,5,0,0.0050367959993309,9.232606573815194e-06,1.926813436965756e-05
axiom2_clean_two_models,A2,axiom2_log,M1_exact_log_language,LMP_power_law_alpha_2.0,1.0,1.0454999937792309e-05,ok,10,8,7,3,3,3,0,0,0.011004005000359,6.499462004918925e-06,6.499462004918925e-06
axiom2_clean_two_models,A2,axiom2_log,M2_larger_language,LMP_power_law_alpha_2.0,0.4807721242091982,3.155800004606135e-05,ok,10,8,7,3,8,3,5,0,0.010650367999915,6.499462004918925e-06,1.351879960929435e-05
axiom2_clean_two_models,A2,axiom2_log,M1_exact_log_language,LMP_power_law_alpha_3.0,1.0,9.770001270226205e-06,ok,10,8,7,3,3,3,0,0,0.0014422309996007,1.7516073030733853e-06,1.7516073030733853e-06
axiom2_clean_two_models,A2,axiom2_log,M2_larger_language,LMP_power_law_alpha_3.0,0.4836656020222893,1.397199957864359e-05,ok,10,8,7,3,8,3,5,0,0.0026924619996862,1.7516073030733853e-06,3.6215254832049512e-06
axiom2_clean_two_models,A2,axiom2_log,M1_exact_log_language,LMP_power_law_alpha_5.0,1.0,1.0044001101050526e-05,ok,10,8,7,3,3,3,0,0,0.0013538660004996,7.9346469412553e-08,7.9346469412553e-08
axiom2_clean_two_models,A2,axiom2_log,M2_larger_language,LMP_power_law_alpha_5.0,0.4883106268381005,5.056299960415345e-05,ok,10,8,7,3,8,3,5,0,0.0117693899992445,7.9346469412553e-08,1.6249179323893832e-07
axiom2_decoy_stress,A2,decoy_axiom2_log,M1_exact_language_with_decoys,LMP_geometric_lambda_0.3,1.0,3.17939993692562e-05,ok,8,7,12,2,2,2,0,0,0.0009058349987753,4.723032069970845e-06,4.723032069970845e-06
axiom2_decoy_stress,A2,decoy_axiom2_log,M2_clean_larger_language,LMP_geometric_lambda_0.3,0.9395973154362416,2.897199919971172e-05,ok,8,7,12,2,5,2,3,0,0.0021677310014638,4.723032069970845e-06,5.026655560183257e-06
axiom2_decoy_stress,A2,decoy_axiom2_log,M1_exact_language_with_decoys,LMP_geometric_lambda_0.5,1.0,1.4924000424798578e-05,ok,8,7,12,2,2,2,0,0,0.0009298639997723,2.603082049146189e-05,2.603082049146189e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M2_clean_larger_language,LMP_geometric_lambda_0.5,0.9032258064516128,1.635000080568716e-05,ok,8,7,12,2,5,2,3,0,0.0013367459996516,2.603082049146189e-05,2.8819836972689956e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M1_exact_language_with_decoys,LMP_geometric_lambda_0.7,1.0,1.363299998047296e-05,ok,8,7,12,2,2,2,0,0,0.0010281659997417,6e-05,6e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M2_clean_larger_language,LMP_geometric_lambda_0.7,0.8695652173913043,1.919599890243262e-05,ok,8,7,12,2,5,2,3,0,0.0013202450008975,6e-05,6.9e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M1_exact_language_with_decoys,LMP_geometric_lambda_0.85,1.0,0.0002736690003075,ok,8,7,12,2,2,2,0,0,0.0011327560005156,6.522360474802166e-05,6.522360474802166e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M2_clean_larger_language,LMP_geometric_lambda_0.85,0.8459214501510575,1.7095999282901175e-05,ok,8,7,12,2,5,2,3,0,0.0015773280010762,6.522360474802166e-05,7.710361846998274e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M1_exact_language_with_decoys,LMP_geometric_lambda_0.95,1.0,1.4495000868919306e-05,ok,8,7,12,2,2,2,0,0,0.0008720359983271,3.392362557267807e-05,3.392362557267807e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M2_clean_larger_language,LMP_geometric_lambda_0.95,0.830860534124629,2.2496000383398496e-05,ok,8,7,12,2,5,2,3,0,0.001692092999292,3.392362557267807e-05,4.08295064928304e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M1_exact_language_with_decoys,LMP_power_law_alpha_1.2,1.0,1.2632999641937204e-05,ok,8,7,12,2,2,2,0,0,0.0008629690000816,2.1594298380632885e-05,2.1594298380632885e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M2_clean_larger_language,LMP_power_law_alpha_1.2,0.853113310827692,1.5867999536567368e-05,ok,8,7,12,2,5,2,3,0,0.0022883920009917,2.1594298380632885e-05,2.531234492132219e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M1_exact_language_with_decoys,LMP_power_law_alpha_1.5,1.0,9.57300107984338e-06,ok,8,7,12,2,2,2,0,0,0.0013064830000075,2.8519850994082408e-05,2.8519850994082408e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M2_clean_larger_language,LMP_power_law_alpha_1.5,0.8598358636149306,1.4288998499978334e-05,ok,8,7,12,2,5,2,3,0,0.0015131950003706,2.8519850994082408e-05,3.316894793638749e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M1_exact_language_with_decoys,LMP_power_law_alpha_2.0,1.0,8.772000001044944e-06,ok,8,7,12,2,2,2,0,0,0.0008678140002302,2.0255796813128752e-05,2.0255796813128752e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M2_clean_larger_language,LMP_power_law_alpha_2.0,0.8704663212435233,9.56899930315558e-06,ok,8,7,12,2,5,2,3,0,0.0014825689995632,2.0255796813128752e-05,2.3270052291272914e-05
axiom2_decoy_stress,A2,decoy_axiom2_log,M1_exact_language_with_decoys,LMP_power_law_alpha_3.0,1.0,7.841001206543297e-06,ok,8,7,12,2,2,2,0,0,0.0007958540008985,5.54373925918006e-06,5.54373925918006e-06
axiom2_decoy_stress,A2,decoy_axiom2_log,M2_clean_larger_language,LMP_power_law_alpha_3.0,0.8896734333627537,8.937000529840589e-06,ok,8,7,12,2,5,2,3,0,0.0009257900001102,5.54373925918006e-06,6.231206925249015e-06
